"student_no","student_name","gender","telephone"
"18020001","Phạm Minh Ðan","1","055 7650 3975"
"18020002","Hoàng Việt Khôi","0","055 9907 1100"
"18020003","Nguyễn Chế Phương","1","0800 836891"
"18020004","Vũ Ðức Quyền","1","0800 256524"
"18020005","Hoàng An Khang","0","0840 117 0342"
"18020006","Hồ Trung Chính","0","055 5708 2544"
"18020007","Đặng Chấn Hùng","1","0111 860 1309"
"18020008","Huỳnh Phương Triều","0","056 1111 3162"
"18020009","Đỗ Minh Hải","1","016438 59727"
"18020010","Hồ Mộng Giác","1","0398 401 9447"
"18020011","Hoàng Thiện Dũng","0","0800 574365"
"18020012","Võ Kiệt Võ","1","016977 7859"
"18020013","Đặng Dân Hiệp","1","0800 999 0498"
"18020014","Dương Hoàn Kiếm","0","0308 007 6872"
"18020015","Nguyễn Thiệu Bảo","1","0309 829 6788"
"18020016","Hồ Ðức Siêu","0","0800 215 7673"
"18020017","Võ Hiệp Hòa","0","0500 008448"
"18020018","Lê Ðông Nguyên","0","0997 723 0438"
"18020019","Hồ Dân Khánh","0","0800 061 8133"
"18020020","Vũ Trọng Khánh","1","01907 48248"
"18020021","Lê Bảo Long","0","0324 136 8903"
"18020022","Huỳnh Kim Sơn","0","0119 059 4410"
"18020023","Nguyễn Duy Thắng","1","0800 656784"
"18020024","Đỗ Ðình Dương","0","023 3449 7571"
"18020025","Võ Quốc Hưng","1","055 4183 3734"
"18020026","Lê Việt Duy","1","056 0080 1407"
"18020027","Nguyễn Minh Thạc","1","016977 3114"
"18020028","Bùi Hiểu Lam","0","01023 23943"
"18020029","Lê Cao Thọ","0","0957 653 9436"
"18020030","Phạm Chí Kiên","1","0800 272264"
"18020031","Lê Thống Nhất","0","0181 410 7421"
"18020032","Lê Ðịnh Lực","1","0131 431 3562"
"18020033","Nguyễn Tấn Tài","1","0361 367 2811"
"18020034","Đặng Ðình Thắng","0","0114 206 1757"
"18020035","Phan Phi Cường","1","0800 450575"
"18020036","Vũ Duy Tâm","0","016450 01969"
"18020037","Phan Minh Sơn","1","01300 73382"
"18020038","Đỗ Mạnh Hùng","0","016977 9912"
"18020039","Vũ Ðình Luận","0","0800 426 2158"
"18020040","Bùi Ðức Hòa","1","0930 163 1054"
"18020041","Võ Phước Nguyên","1","0321 046 5820"
"18020042","Dương Bình Ðạt","0","0800 153 1581"
"18020043","Dương Tuấn Tú","1","055 4134 1114"
"18020044","Bùi Khải Ca","0","0131 450 6860"
"18020045","Phan Thành Phương","1","0912 046 9587"
"18020046","Hồ Thái Sang","1","0131 064 7396"
"18020047","Hoàng Viết Nhân","0","0111 972 2831"
"18020048","Vũ Duy Hải","0","016977 6842"
"18020049","Hồ Huy Khiêm","0","012960 01278"
"18020050","Lê Ðại Dương","0","01910 40573"
"18020051","Hoàng Tài Nguyên","1","01563 61385"
"18020052","Hồ Thanh Ðoàn","0","0302 152 1965"
"18020053","Lê Duy Hùng","1","0807 173 0280"
"18020054","Hoàng Ðắc Di","0","016977 5578"
"18020055","Hồ Xuân Kiên","0","056 9644 1494"
"18020056","Đỗ Duy Cẩn","1","0349 261 1435"
"18020057","Hoàng Sơn Quân","1","0800 753939"
"18020058","Ngô Bình Dân","1","0118 803 1801"
"18020059","Phạm Duy Hoàng","1","0110 080 9837"
"18020060","Ngô Minh Ân","1","0171 886 9376"
"18020061","Hoàng Thế Bình","0","021 2921 0842"
"18020062","Vũ Trí Thắng","1","014880 74856"
"18020063","Dương Thành Công","1","01931 791223"
"18020064","Nguyễn Tuấn Ðức","1","01685 139697"
"18020065","Vũ Hữu Bảo","1","0970 135 9529"
"18020066","Hồ Thế Vinh","1","021 8939 2690"
"18020067","Hồ Minh Nhu","0","0866 504 2782"
"18020068","Bùi Thiện Luân","0","0823 186 5121"
"18020069","Đặng Vân Sơn","0","056 8007 9668"
"18020070","Nguyễn Minh Trung","1","0813 843 6427"
"18020071","Phan Ðình Nhân","0","021 1112 5640"
"18020072","Lê Thường Xuân","0","01358 126425"
"18020073","Hồ Huy Khiêm","1","016977 2771"
"18020074","Nguyễn Tấn Tài","0","016977 0098"
"18020075","Phạm Ðức Giang","1","0110 995 0085"
"18020076","Bùi Minh Toàn","0","056 4531 1301"
"18020077","Trần Thạch Sơn","1","0500 535504"
"18020078","Trần Quốc Thắng","0","016977 0474"
"18020079","Dương Hùng Phong","1","0800 511 9902"
"18020080","Hồ Tuấn Khải","1","0181 130 9447"
"18020081","Trần Viễn Thông","1","055 9427 4429"
"18020082","Vũ Ðức Quyền","1","01895 32982"
"18020083","Võ Tuấn Thành","0","01267 63630"
"18020084","Đỗ Hiệp Hiền","1","0118 179 5924"
"18020085","Phan Phú Bình","1","016120 47543"
"18020086","Huỳnh Phước An","1","0500 211285"
"18020087","Đỗ Ngọc Lân","0","0800 366649"
"18020088","Phạm Duy Tân","0","055 2244 7771"
"18020089","Bùi Minh Nghĩa","0","0969 241 2440"
"18020090","Hoàng Tân Bình","0","01651 84024"
"18020091","Võ Quảng Thông","1","0800 366 2888"
"18020092","Lê Tiền Giang","1","0500 222152"
"18020093","Vũ Quốc Hạnh","1","018001 14916"
"18020094","Trần Hoàng Ân","1","055 0343 7113"
"18020095","Trần Việt Võ","0","0161 989 9563"
